Pt-59,TRUE,5786.67264,1181.073852,4913.260296,6.253463311,1.955896044,8.736582998
Pt-60,TRUE,5663.06088,5751.652314,8909.153813,6.252343503,7.082838631,12.7061625
Pt-61,TRUE,3956.639684,6034.68842,6641.447499,4.65723337,6.793071064,9.753787679
Pt-62,TRUE,3980.484712,5387.582417,1371.039266,4.647105273,4.739636072,4.420718783
Pt-63,TRUE,4023.53248,2952.569665,1023.538027,4.647105273,2.656692419,4.336771432
Pt-64,TRUE,5670.217714,5623.874653,8378.260021,6.249608913,7.212616761,11.95863784
Pt-65,TRUE,7025.781017,5559.189122,8491.919725,7.641123492,6.897794458,11.95863784
Pt-66,TRUE,4351.095227,5529.450901,8485.679574,4.902169456,6.941869581,11.95863784
Pt-67,TRUE,2786.968392,682.5033705,8015.351112,3.699548258,2.225831482,11.95863784
Pt-68,TRUE,8397.546475,608.8212615,7963.406216,8.377807681,2.049530992,11.95863784
Pt-69,TRUE,3170.576907,6205.994969,8775.785082,3.642880243,7.174838085,11.95863784
Pt-70,TRUE,8220.595434,6214.098092,8768.016756,8.93819138,7.061502056,11.95863784
Pt-71,TRUE,7188.604594,2440.309648,12231.84783,7.628888117,3.882290602,15.74379172
Pt-72,TRUE,7109.66711,3888.969671,12350.51587,7.62365961,5.387905234,16.04333268
Pt-73,TRUE,8449.140647,3253.893214,12366.70147,8.710984048,4.374530642,15.81636417
Pt-74,TRUE,8389.565181,4066.973205,12422.02949,8.710984048,5.196473324,15.88549954
Pt-75,TRUE,8436.052449,3195.670351,11426.05417,8.710984048,4.243941618,15.06355685
Pt-76,TRUE,8321.858814,4318.079186,11465.91753,8.710984048,5.511423324,15.05587515
Pt-77,TRUE,8394.687057,3320.704104,10728.93762,8.710984048,4.290031862,14.50279222
Pt-78,TRUE,5320.909479,4494.201193,7881.167473,5.926519132,5.755421033,11.90505767
Pt-79,TRUE,6107.487531,4520.63051,7844.150824,6.518010595,5.755421033,11.85896742
Pt-80,TRUE,6181.884682,5502.742801,7542.870884,6.700211296,6.375781392,10.98554276
Pt-81,TRUE,5202.471475,5520.849135,7561.891557,5.792425742,6.395975976,11.01298755
Pt-82,TRUE,6543.774519,6354.073684,7440.71662,7.170017603,7.062020455,10.56761497
Pt-83,TRUE,4850.105031,6299.041417,7503.450262,5.378741013,7.133117945,10.60366173
